time,cc,albedo,z_pt_cor,gps_lat,gps_lon,gps_alt,aws,awsgroup,albedo_diff,albedo_rate,height_diff,height_rate,dod
01-Jun-2021,0.4053,0.7784,14.6206,69.492467,-49.718366,907,JAR,M,0,0,0,0,NaN
02-Jun-2021,0.069,0.7599,14.6172,69.492468,-49.718374,906.54,JAR,M,-0.0185,-0.0185,-0.00339999999999918,-0.00339999999999918,NaN
03-Jun-2021,0.0563,0.7446,14.6202,69.492468,-49.718381,906.58,JAR,M,-0.0337999999999999,-0.0153,-0.000399999999999068,0.00300000000000011,NaN
04-Jun-2021,0.2208,0.7355,14.6205,69.492467,-49.718384,907.08,JAR,M,-0.0428999999999999,-0.0091,-9.99999999997669e-05,0.000299999999999301,NaN
05-Jun-2021,0.0493,0.7135,14.6186,69.492463,-49.718394,906.62,JAR,M,-0.0649,-0.022,-0.00199999999999889,-0.00189999999999912,NaN
06-Jun-2021,0.1812,0.7252,14.6209,69.492462,-49.71839,907.25,JAR,M,-0.0532,0.0116999999999999,0.000300000000001077,0.00229999999999997,NaN
07-Jun-2021,0.0311,0.7079,14.6209,69.492464,-49.718396,907.62,JAR,M,-0.0705,-0.0173,0.000300000000001077,0,NaN
08-Jun-2021,0.0615,0.7081,14.6202,69.492463,-49.718405,907.04,JAR,M,-0.0703,0.000199999999999978,-0.000399999999999068,-0.000700000000000145,NaN
09-Jun-2021,0.0367,0.7102,14.6179,69.492463,-49.718406,907.3,JAR,M,-0.0681999999999999,0.0021000000000001,-0.00269999999999904,-0.00229999999999997,NaN
10-Jun-2021,0.2693,0.718,14.6154,69.492461,-49.718406,907,JAR,M,-0.0604,0.00779999999999992,-0.00520000000000032,-0.00250000000000128,NaN
11-Jun-2021,0.7442,0.7515,14.6195,69.492465,-49.718413,907,JAR,M,-0.0269,0.0335,-0.00109999999999921,0.0041000000000011,NaN
12-Jun-2021,0.5537,0.7258,14.6209,69.492461,-49.718414,907.33,JAR,M,-0.0526,-0.0256999999999999,0.000300000000001077,0.00140000000000029,NaN
13-Jun-2021,0.7532,0.7375,14.6235,69.492459,-49.718418,907.33,JAR,M,-0.0408999999999999,0.0117,0.00290000000000035,0.00259999999999927,NaN
14-Jun-2021,0.4751,0.7127,14.6262,69.49246,-49.718428,907.62,JAR,M,-0.0657,-0.0248,0.00560000000000116,0.00270000000000081,NaN
15-Jun-2021,0.1147,0.7078,14.6231,69.492457,-49.718427,906.88,JAR,M,-0.0706,-0.00490000000000002,0.00250000000000128,-0.00309999999999988,NaN
16-Jun-2021,0.6614,0.734,14.625,69.492456,-49.718437,906.46,JAR,M,-0.0444,0.0262,0.0044000000000004,0.00189999999999912,NaN
17-Jun-2021,0.4881,0.785,14.6216,69.492456,-49.718441,906.33,JAR,M,0.00660000000000005,0.051,0.00100000000000122,-0.00339999999999918,NaN
18-Jun-2021,0.0447,0.7382,14.6216,69.492454,-49.718441,906.08,JAR,M,-0.0402,-0.0468000000000001,0.00100000000000122,0,NaN
19-Jun-2021,0.0699,0.7245,14.6205,69.492456,-49.718446,906.88,JAR,M,-0.0538999999999999,-0.0136999999999999,-9.99999999997669e-05,-0.00110000000000099,NaN
20-Jun-2021,0.5799,0.7747,14.6198,69.492455,-49.718452,907.54,JAR,M,-0.00369999999999993,0.0502,-0.000799999999999912,-0.000700000000000145,NaN
21-Jun-2021,0.5837,0.8052,14.6239,69.492453,-49.71846,907.25,JAR,M,0.0268,0.0305,0.00330000000000119,0.0041000000000011,NaN
22-Jun-2021,0.0456,0.7433,14.6216,69.492454,-49.718463,907.33,JAR,M,-0.0351,-0.0619000000000001,0.00100000000000122,-0.00229999999999997,NaN
23-Jun-2021,0.3868,0.7559,14.6182,69.492451,-49.718463,907.33,JAR,M,-0.0225,0.0126000000000001,-0.00239999999999974,-0.00340000000000096,NaN
24-Jun-2021,0.1721,0.6991,14.6205,69.49245,-49.718468,906.88,JAR,M,-0.0792999999999999,-0.0568,-9.99999999997669e-05,0.00229999999999997,NaN
25-Jun-2021,0.757,0.8307,14.6228,69.492451,-49.718474,907.46,JAR,M,0.0523,0.1316,0.0022000000000002,0.00229999999999997,NaN
26-Jun-2021,0.6774,0.8135,14.6205,69.492453,-49.718475,907.71,JAR,M,0.0351,-0.0172,-9.99999999997669e-05,-0.00229999999999997,NaN
27-Jun-2021,0.4442,0.7416,14.6194,69.492451,-49.718484,908.04,JAR,M,-0.0367999999999999,-0.0719,-0.00119999999999898,-0.00109999999999921,NaN
28-Jun-2021,0.8799,0.7747,14.6145,69.492448,-49.718487,908.04,JAR,M,-0.00369999999999993,0.0331,-0.00609999999999999,-0.00490000000000101,NaN
29-Jun-2021,0.9596,0.8834,14.6153,69.492449,-49.71849,908.21,JAR,M,0.105,0.1087,-0.00530000000000008,0.000799999999999912,NaN
