date,darkice_area451,darkice_area431
01-Jun-2002,9735000000,7729250000
02-Jun-2002,12829750000,10775000000
03-Jun-2002,7460000000,6071000000
04-Jun-2002,12248500000,10179250000
05-Jun-2002,6444250000,5172750000
06-Jun-2002,11430250000,9462250000
07-Jun-2002,8187250000,6708500000
08-Jun-2002,9242500000,7583750000
09-Jun-2002,8232500000,6713750000
10-Jun-2002,12693500000,10503500000
11-Jun-2002,16329500000,14055500000
12-Jun-2002,18510750000,15599000000
13-Jun-2002,27039750000,22579750000
14-Jun-2002,29270000000,24327500000
15-Jun-2002,15074750000,12832500000
16-Jun-2002,10223750000,8713000000
17-Jun-2002,17353250000,14608000000
18-Jun-2002,17071000000,14325250000
19-Jun-2002,24185500000,20333000000
20-Jun-2002,31735000000,26553000000
21-Jun-2002,25853250000,21772500000
22-Jun-2002,20065750000,17065500000
23-Jun-2002,18448750000,16079750000
24-Jun-2002,21143750000,18200750000
25-Jun-2002,33285000000,28707500000
26-Jun-2002,26778250000,22633750000
27-Jun-2002,42369000000,36682500000
28-Jun-2002,39397500000,33949500000
29-Jun-2002,53599000000,45271750000
30-Jun-2002,44539500000,37310750000
01-Jul-2002,42823750000,36008500000
02-Jul-2002,44836000000,37294500000
03-Jul-2002,47291000000,39855000000
04-Jul-2002,48079250000,40023000000
05-Jul-2002,34469500000,30266000000
06-Jul-2002,43221250000,38473750000
07-Jul-2002,50596500000,42252000000
08-Jul-2002,67374000000,58503000000
09-Jul-2002,55989750000,49955000000
10-Jul-2002,54986750000,48867750000
11-Jul-2002,66580500000,58035500000
12-Jul-2002,40643000000,34691000000
13-Jul-2002,50347000000,42759250000
14-Jul-2002,20423000000,18031250000
15-Jul-2002,24326750000,21231750000
16-Jul-2002,23134000000,19185500000
17-Jul-2002,28398500000,24314250000
18-Jul-2002,31496500000,28430500000
19-Jul-2002,25154750000,21644000000
20-Jul-2002,47124250000,42181500000
21-Jul-2002,53101000000,46802250000
22-Jul-2002,53723250000,47377000000
23-Jul-2002,32416750000,28929750000
24-Jul-2002,34383750000,30204750000
25-Jul-2002,24717500000,21991000000
26-Jul-2002,30876000000,27340000000
27-Jul-2002,44345500000,40014250000
28-Jul-2002,49183500000,44587000000
29-Jul-2002,37118250000,33108750000
30-Jul-2002,32338750000,27522500000
31-Jul-2002,35169250000,30717750000
01-Aug-2002,34992250000,30646250000
02-Aug-2002,48938250000,43058750000
03-Aug-2002,35034250000,30518000000
04-Aug-2002,33587000000,29341000000
05-Aug-2002,30228000000,27081250000
06-Aug-2002,46078500000,41650000000
07-Aug-2002,37315750000,34177250000
08-Aug-2002,39242750000,35417750000
09-Aug-2002,42622750000,36892750000
10-Aug-2002,36005500000,31262250000
11-Aug-2002,29334250000,26416500000
12-Aug-2002,27020000000,23880500000
13-Aug-2002,34742750000,30385500000
14-Aug-2002,48011000000,42657250000
15-Aug-2002,53384250000,47301250000
16-Aug-2002,30965000000,27543500000
17-Aug-2002,29818500000,26664750000
18-Aug-2002,19102750000,16810500000
19-Aug-2002,28872000000,25945750000
20-Aug-2002,26603250000,23341250000
21-Aug-2002,16374250000,14100250000
22-Aug-2002,16215250000,13799250000
23-Aug-2002,23559000000,20567750000
24-Aug-2002,29156500000,25981250000
25-Aug-2002,23006250000,19680000000
26-Aug-2002,24547250000,22246500000
27-Aug-2002,26423500000,23754250000
28-Aug-2002,15589250000,13815500000
29-Aug-2002,13599500000,11645250000
30-Aug-2002,15658750000,13952250000
31-Aug-2002,23356000000,20962750000
01-Jun-2003,10761750000,8579000000
02-Jun-2003,12572500000,9968500000
03-Jun-2003,15266500000,11935500000
04-Jun-2003,13845250000,10570250000
05-Jun-2003,16418500000,13122500000
06-Jun-2003,13239250000,10443250000
07-Jun-2003,17073250000,13695750000
08-Jun-2003,13537000000,10976500000
09-Jun-2003,12186000000,9678250000
10-Jun-2003,15399750000,12721000000
11-Jun-2003,14448000000,11720500000
12-Jun-2003,13453000000,10992500000
13-Jun-2003,16699250000,13561500000
14-Jun-2003,21507750000,17730250000
15-Jun-2003,22210250000,18245250000
16-Jun-2003,24552500000,20266250000
17-Jun-2003,23748000000,19641500000
18-Jun-2003,10469000000,8745500000
19-Jun-2003,24533500000,20012250000
20-Jun-2003,18449000000,15000500000
21-Jun-2003,20982000000,17157000000
22-Jun-2003,29020750000,23406000000
23-Jun-2003,38679750000,30591000000
24-Jun-2003,42133500000,33182000000
25-Jun-2003,52714250000,41739500000
26-Jun-2003,41672000000,32373000000
27-Jun-2003,34091250000,25226500000
28-Jun-2003,42628000000,35609250000
29-Jun-2003,20915000000,16456000000
30-Jun-2003,23771000000,20174000000
01-Jul-2003,25705000000,21853750000
02-Jul-2003,33864000000,28243750000
03-Jul-2003,35626750000,28783750000
04-Jul-2003,46471250000,37286500000
05-Jul-2003,55039750000,47038250000
06-Jul-2003,59524250000,49129750000
07-Jul-2003,62469250000,52280750000
08-Jul-2003,58751750000,47580750000
09-Jul-2003,54292750000,46017500000
10-Jul-2003,56864000000,47728500000
11-Jul-2003,57853000000,48432500000
12-Jul-2003,44281000000,37830250000
13-Jul-2003,35323500000,28101500000
14-Jul-2003,33081250000,27772500000
15-Jul-2003,45458500000,37431000000
16-Jul-2003,45506750000,40137000000
17-Jul-2003,48273250000,41951750000
18-Jul-2003,52388750000,43487000000
19-Jul-2003,53079250000,46709000000
20-Jul-2003,54175500000,47373250000
21-Jul-2003,60401000000,51710000000
22-Jul-2003,58852500000,50694500000
23-Jul-2003,51297750000,45592750000
24-Jul-2003,59895000000,52029000000
25-Jul-2003,43520000000,38402250000
26-Jul-2003,39320000000,34674750000
27-Jul-2003,40881000000,35652750000
28-Jul-2003,39767250000,35072000000
29-Jul-2003,43885500000,37437500000
30-Jul-2003,59127000000,52027500000
31-Jul-2003,32116250000,28493250000
01-Aug-2003,63836250000,55659500000
02-Aug-2003,58880500000,51873000000
03-Aug-2003,42269750000,37996000000
04-Aug-2003,50248750000,44860500000
05-Aug-2003,59567000000,52114500000
06-Aug-2003,34125250000,29811500000
07-Aug-2003,68969500000,62121250000
08-Aug-2003,64725500000,58217500000
09-Aug-2003,37132250000,32928500000
10-Aug-2003,40231000000,35035750000
11-Aug-2003,43261500000,37167750000
12-Aug-2003,36649000000,32583250000
13-Aug-2003,39687250000,36009000000
14-Aug-2003,28348750000,25080250000
15-Aug-2003,42576750000,37938750000
16-Aug-2003,25199750000,22360500000
17-Aug-2003,24092500000,21364000000
18-Aug-2003,8720500000,7458250000
19-Aug-2003,18791750000,16281000000
20-Aug-2003,19188250000,17221250000
21-Aug-2003,34893250000,31343500000
22-Aug-2003,46480000000,42121250000
23-Aug-2003,26124500000,22871000000
24-Aug-2003,31154250000,28280500000
25-Aug-2003,40068250000,36256500000
26-Aug-2003,81909500000,75149500000
27-Aug-2003,74058500000,66415000000
28-Aug-2003,74023000000,67025000000
29-Aug-2003,58444250000,50661000000
30-Aug-2003,33194750000,28699500000
31-Aug-2003,26130750000,22587250000
01-Jun-2004,13678250000,11090250000
02-Jun-2004,11370000000,9295250000
03-Jun-2004,12150000000,10084000000
04-Jun-2004,8365500000,6695750000
05-Jun-2004,5217250000,4263000000
06-Jun-2004,7284750000,5821500000
07-Jun-2004,12801750000,10745500000
08-Jun-2004,12991500000,10757000000
09-Jun-2004,12794750000,10628500000
10-Jun-2004,17860500000,14819500000
11-Jun-2004,16125000000,13462500000
12-Jun-2004,16373250000,13660000000
13-Jun-2004,9842000000,8106000000
14-Jun-2004,14295000000,11985250000
15-Jun-2004,7055750000,5738750000
16-Jun-2004,11509000000,9403000000
17-Jun-2004,12551250000,10464750000
18-Jun-2004,14759250000,12387000000
19-Jun-2004,30269250000,24624000000
20-Jun-2004,29118250000,23541250000
21-Jun-2004,28998750000,23866250000
22-Jun-2004,27994250000,22431750000
23-Jun-2004,26152000000,21619250000
24-Jun-2004,18823750000,15211500000
25-Jun-2004,23669750000,19728250000
26-Jun-2004,24511500000,20737500000
27-Jun-2004,22857750000,19134500000
28-Jun-2004,22223750000,19019000000
29-Jun-2004,19606000000,15973000000
30-Jun-2004,16708750000,14139500000
01-Jul-2004,25539750000,21893250000
02-Jul-2004,31214750000,26684000000
03-Jul-2004,29133750000,24524500000
04-Jul-2004,25210250000,21302250000
05-Jul-2004,31777250000,27335000000
06-Jul-2004,21608250000,17218750000
07-Jul-2004,31132250000,26732750000
08-Jul-2004,37286750000,30677250000
09-Jul-2004,34828750000,29878250000
